ts,MLII,V5
311111024,-0.32,-0.19
313888801,-0.33,-0.185
316666578,-0.34,-0.18
319444355,-0.335,-0.17
322222132,-0.34,-0.175
324999909,-0.345,-0.19
327777686,-0.355,-0.2
330555463,-0.355,-0.195
333333240,-0.34,-0.185
336111017,-0.33,-0.17
338888794,-0.33,-0.17
341666571,-0.33,-0.185
344444348,-0.34,-0.195
347222125,-0.35,-0.175
349999902,-0.325,-0.2
352777679,-0.325,-0.185
355555456,-0.33,-0.18
358333233,-0.33,-0.185
361111010,-0.335,-0.205
363888787,-0.335,-0.19
366666564,-0.34,-0.18
369444341,-0.33,-0.185
372222118,-0.34,-0.2
374999895,-0.35,-0.215
377777672,-0.355,-0.205
380555449,-0.35,-0.21
383333226,-0.345,-0.2
386111003,-0.33,-0.185
388888780,-0.32,-0.205
391666557,-0.335,-0.2
394444334,-0.33,-0.21
397222111,-0.345,-0.205
399999888,-0.33,-0.185
402777665,-0.335,-0.185
405555442,-0.335,-0.2
408333219,-0.345,-0.215
411110996,-0.345,-0.225
413888773,-0.355,-0.22
416666550,-0.34,-0.2
419444327,-0.34,-0.2
422222104,-0.335,-0.215
424999881,-0.33,-0.225
427777658,-0.35,-0.235
430555435,-0.35,-0.245
433333212,-0.345,-0.24
436110989,-0.335,-0.24
438888766,-0.335,-0.24
441666543,-0.335,-0.245
444444320,-0.35,-0.26
447222097,-0.355,-0.26
449999874,-0.355,-0.265
452777651,-0.345,-0.265
455555428,-0.345,-0.28
458333205,-0.335,-0.285
461110982,-0.35,-0.295
463888759,-0.36,-0.295
466666536,-0.36,-0.3
469444313,-0.36,-0.29
472222090,-0.365,-0.3
474999867,-0.36,-0.315
477777644,-0.37,-0.315
480555421,-0.385,-0.315
483333198,-0.37,-0.315
486110975,-0.36,-0.31
488888752,-0.355,-0.31
491666529,-0.36,-0.325
494444306,-0.375,-0.33
497222083,-0.375,-0.325
499999860,-0.365,-0.315
502777637,-0.365,-0.305
505555414,-0.36,-0.305
508333191,-0.36,-0.29
511110968,-0.365,-0.29
513888745,-0.37,-0.275
516666522,-0.355,-0.27
519444299,-0.33,-0.245
522222076,-0.325,-0.24
524999853,-0.325,-0.25
527777630,-0.335,-0.25
530555407,-0.34,-0.235
533333184,-0.315,-0.22
536110961,-0.3,-0.195
538888738,-0.3,-0.19
541666515,-0.29,-0.19
544444292,-0.295,-0.19
547222069,-0.29,-0.18
549999846,-0.285,-0.16
552777623,-0.275,-0.145
555555400,-0.255,-0.15
558333177,-0.25,-0.16
561110954,-0.25,-0.16
563888731,-0.265,-0.155
566666508,-0.255,-0.145
569444285,-0.245,-0.14
572222062,-0.23,-0.16
574999839,-0.245,-0.15
577777616,-0.245,-0.175
580555393,-0.255,-0.17
583333170,-0.255,-0.16
586110947,-0.24,-0.16
588888724,-0.25,-0.15
591666501,-0.255,-0.155
594444278,-0.245,-0.16
597222055,-0.255,-0.17
599999832,-0.25,-0.155
602777609,-0.25,-0.155
605555386,-0.265,-0.15
608333163,-0.26,-0.165
611110940,-0.26,-0.175
613888717,-0.265,-0.165
616666494,-0.27,-0.165
619444271,-0.265,-0.16
622222048,-0.26,-0.16
624999825,-0.275,-0.18
627777602,-0.28,-0.175
630555379,-0.29,-0.185
633333156,-0.275,-0.165
636110933,-0.27,-0.15
638888710,-0.26,-0.15
641666487,-0.28,-0.17
644444264,-0.28,-0.185
647222041,-0.285,-0.195
649999818,-0.275,-0.19
652777595,-0.275,-0.19
655555372,-0.265,-0.185
658333149,-0.27,-0.19
661110926,-0.285,-0.21
663888703,-0.29,-0.195
666666480,-0.28,-0.19
669444257,-0.275,-0.18
672222034,-0.285,-0.205
674999811,-0.28,-0.215
677777588,-0.3,-0.225
680555365,-0.3,-0.21
683333142,-0.305,-0.205
686110919,-0.295,-0.195
688888696,-0.3,-0.2
691666473,-0.31,-0.195
694444250,-0.31,-0.21
697222027,-0.305,-0.215
699999804,-0.295,-0.205
702777581,-0.285,-0.185
705555358,-0.285,-0.195
708333135,-0.29,-0.195
711110912,-0.295,-0.22
713888689,-0.31,-0.22
716666466,-0.29,-0.21
719444243,-0.295,-0.215
722222020,-0.3,-0.22
724999797,-0.305,-0.22
727777574,-0.31,-0.225
730555351,-0.325,-0.21
733333128,-0.31,-0.2
736110905,-0.3,-0.21
738888682,-0.29,-0.225
741666459,-0.31,-0.23
744444236,-0.325,-0.225
747222013,-0.33,-0.22
749999790,-0.315,-0.23
752777567,-0.3,-0.21
755555344,-0.305,-0.215
758333121,-0.31,-0.215
761110898,-0.32,-0.23
763888675,-0.33,-0.215
766666452,-0.325,-0.22
769444229,-0.315,-0.205
772222006,-0.31,-0.205
774999783,-0.305,-0.21
777777560,-0.305,-0.215
780555337,-0.31,-0.225
783333114,-0.3,-0.215
786110891,-0.305,-0.215
788888668,-0.29,-0.215
791666445,-0.3,-0.225
794444222,-0.3,-0.225
797221999,-0.305,-0.225
799999776,-0.305,-0.205
802777553,-0.29,-0.195
805555330,-0.28,-0.21
808333107,-0.295,-0.21
811110884,-0.305,-0.215
813888661,-0.315,-0.235
816666438,-0.305,-0.23
819444215,-0.295,-0.22
822221992,-0.29,-0.22
824999769,-0.28,-0.23
827777546,-0.27,-0.225
830555323,-0.275,-0.23
833333100,-0.275,-0.215
836110877,-0.27,-0.195
838888654,-0.25,-0.195
841666431,-0.25,-0.19
844444208,-0.255,-0.2
847221985,-0.225,-0.195
849999762,-0.22,-0.18
852777539,-0.205,-0.17
855555316,-0.2,-0.18
858333093,-0.205,-0.175
861110870,-0.215,-0.195
863888647,-0.23,-0.195
866666424,-0.22,-0.17
869444201,-0.225,-0.175
872221978,-0.225,-0.175
874999755,-0.225,-0.18
877777532,-0.23,-0.185
880555309,-0.235,-0.185
883333086,-0.24,-0.175
886110863,-0.235,-0.175
888888640,-0.22,-0.175
891666417,-0.21,-0.19
894444194,-0.205,-0.205
897221971,-0.245,-0.2
899999748,-0.285,-0.205
902777525,-0.285,-0.205
905555302,-0.3,-0.215
908333079,-0.31,-0.215
911110856,-0.33,-0.225
913888633,-0.33,-0.215
916666410,-0.325,-0.21
919444187,-0.315,-0.2
922221964,-0.32,-0.215
924999741,-0.315,-0.225
927777518,-0.325,-0.245
930555295,-0.34,-0.245
933333072,-0.345,-0.25
936110849,-0.34,-0.225
938888626,-0.34,-0.23
941666403,-0.35,-0.235
944444180,-0.345,-0.24
947221957,-0.355,-0.235
949999734,-0.33,-0.235
952777511,-0.335,-0.22
955555288,-0.33,-0.23
958333065,-0.32,-0.24
961110842,-0.345,-0.24
963888619,-0.355,-0.245
966666396,-0.34,-0.225
969444173,-0.33,-0.225
972221950,-0.325,-0.235
974999727,-0.33,-0.25
977777504,-0.35,-0.27
980555281,-0.365,-0.28
983333058,-0.36,-0.29
986110835,-0.38,-0.3
988888612,-0.425,-0.33
991666389,-0.445,-0.36
994444166,-0.475,-0.355
997221943,-0.51,-0.305
999999720,-0.535,-0.205
1002777497,-0.505,-0.08
1005555274,-0.415,0.015
1008333051,-0.3,0.065
1011110828,-0.16,0.115
1013888605,-0.015,0.19
1016666382,0.235,0.3
1019444159,0.49,0.41
1022221936,0.72,0.495
1024999713,0.875,0.485
1027777490,0.94,0.36
1030555267,0.905,0.105
1033333044,0.755,-0.165
1036110821,0.49,-0.35
1038888598,0.165,-0.45
1041666375,-0.11,-0.47
1044444152,-0.27,-0.45
1047221929,-0.39,-0.395
1049999706,-0.45,-0.345
1052777483,-0.475,-0.31
1055555260,-0.455,-0.295
1058333037,-0.425,-0.285
1061110814,-0.39,-0.295
1063888591,-0.39,-0.295
1066666368,-0.385,-0.28
1069444145,-0.39,-0.285
1072221922,-0.38,-0.285
1074999699,-0.38,-0.285
1077777476,-0.38,-0.29
1080555253,-0.395,-0.275
1083333030,-0.385,-0.275
1086110807,-0.385,-0.275
1088888584,-0.385,-0.27
1091666361,-0.375,-0.285
1094444138,-0.395,-0.295
1097221915,-0.41,-0.29
1099999692,-0.41,-0.275
1102777469,-0.4,-0.265
1105555246,-0.395,-0.265
1108333023,-0.39,-0.275
1111110800,-0.405,-0.295
1113888577,-0.395,-0.29
1116666354,-0.385,-0.285
1119444131,-0.375,-0.27
1122221908,-0.39,-0.265
1124999685,-0.39,-0.275
1127777462,-0.405,-0.28
1130555239,-0.41,-0.28
1133333016,-0.41,-0.27
1136110793,-0.39,-0.265
1138888570,-0.39,-0.27
1141666347,-0.395,-0.27
1144444124,-0.405,-0.28
1147221901,-0.415,-0.27
1149999678,-0.4,-0.265
1152777455,-0.41,-0.265
1155555232,-0.405,-0.265
1158333009,-0.41,-0.27
1161110786,-0.415,-0.285
1163888563,-0.41,-0.285
1166666340,-0.4,-0.265
1169444117,-0.4,-0.265
1172221894,-0.395,-0.255
1174999671,-0.39,-0.275
1177777448,-0.405,-0.275
1180555225,-0.41,-0.28
1183333002,-0.39,-0.27
1186110779,-0.39,-0.265
1188888556,-0.385,-0.275
1191666333,-0.385,-0.285
1194444110,-0.41,-0.28
1197221887,-0.405,-0.28
1199999664,-0.395,-0.275
1202777441,-0.39,-0.275
1205555218,-0.375,-0.275
1208332995,-0.39,-0.285
1211110772,-0.395,-0.295
1213888549,-0.41,-0.295
1216666326,-0.4,-0.275
1219444103,-0.39,-0.275
1222221880,-0.39,-0.285
1224999657,-0.385,-0.29
1227777434,-0.405,-0.315
1230555211,-0.415,-0.315
1233332988,-0.415,-0.305
1236110765,-0.4,-0.29
1238888542,-0.395,-0.31
1241666319,-0.405,-0.32
1244444096,-0.415,-0.32
1247221873,-0.42,-0.335
1249999650,-0.42,-0.33
1252777427,-0.41,-0.325
1255555204,-0.415,-0.345
1258332981,-0.425,-0.35
1261110758,-0.42,-0.365
1263888535,-0.435,-0.37
1266666312,-0.43,-0.355
1269444089,-0.43,-0.36
1272221866,-0.42,-0.37
1274999643,-0.43,-0.39
1277777420,-0.45,-0.395
1280555197,-0.455,-0.4
1283332974,-0.45,-0.39
1286110751,-0.435,-0.385
1288888528,-0.445,-0.39
1291666305,-0.45,-0.4
1294444082,-0.455,-0.41
1297221859,-0.47,-0.42
1299999636,-0.46,-0.405
1302777413,-0.455,-0.41
1305555190,-0.45,-0.41
1308332967,-0.455,-0.4
1311110744,-0.47,-0.405
1313888521,-0.475,-0.39
1316666298,-0.46,-0.385
1319444075,-0.45,-0.365
1322221852,-0.445,-0.355
1324999629,-0.44,-0.345
1327777406,-0.435,-0.355
1330555183,-0.44,-0.33
1333332960,-0.41,-0.295
1336110737,-0.395,-0.275
1338888514,-0.37,-0.27
1341666291,-0.365,-0.26
1344444068,-0.36,-0.265
1347221845,-0.365,-0.265
1349999622,-0.34,-0.245
1352777399,-0.325,-0.225
1355555176,-0.315,-0.21
1358332953,-0.32,-0.215
1361110730,-0.33,-0.215
1363888507,-0.33,-0.205
1366666284,-0.32,-0.195
1369444061,-0.31,-0.185
1372221838,-0.3,-0.185
1374999615,-0.3,-0.195
1377777392,-0.32,-0.195
1380555169,-0.32,-0.195
1383332946,-0.315,-0.185
1386110723,-0.305,-0.17
1388888500,-0.305,-0.185
1391666277,-0.295,-0.195
1394444054,-0.32,-0.195
1397221831,-0.33,-0.195
1399999608,-0.305,-0.185
1402777385,-0.31,-0.175
1405555162,-0.3,-0.175
1408332939,-0.3,-0.185
1411110716,-0.32,-0.195
1413888493,-0.325,-0.195
1416666270,-0.31,-0.195
1419444047,-0.305,-0.18
1422221824,-0.315,-0.185
1424999601,-0.305,-0.19
1427777378,-0.315,-0.195
1430555155,-0.315,-0.195
1433332932,-0.31,-0.19
1436110709,-0.295,-0.185
1438888486,-0.29,-0.185
1441666263,-0.305,-0.19
1444444040,-0.31,-0.2
1447221817,-0.32,-0.215
1449999594,-0.315,-0.195
1452777371,-0.3,-0.185
1455555148,-0.315,-0.185
1458332925,-0.315,-0.185
1461110702,-0.315,-0.2
1463888479,-0.33,-0.205
1466666256,-0.315,-0.19
1469444033,-0.32,-0.19
1472221810,-0.315,-0.2
1474999587,-0.325,-0.2
1477777364,-0.335,-0.195
1480555141,-0.34,-0.22
1483332918,-0.335,-0.205
1486110695,-0.335,-0.19
1488888472,-0.33,-0.2
1491666249,-0.325,-0.22
1494444026,-0.345,-0.23
1497221803,-0.35,-0.21
1499999580,-0.345,-0.205
1502777357,-0.335,-0.2
1505555134,-0.33,-0.195
1508332911,-0.33,-0.22
1511110688,-0.345,-0.225
1513888465,-0.345,-0.225
1516666242,-0.345,-0.215
1519444019,-0.32,-0.205
1522221796,-0.33,-0.205
1524999573,-0.335,-0.215
1527777350,-0.34,-0.225
1530555127,-0.355,-0.22
1533332904,-0.335,-0.225
1536110681,-0.33,-0.195
1538888458,-0.33,-0.215
1541666235,-0.335,-0.22
1544444012,-0.355,-0.215
1547221789,-0.36,-0.225
1549999566,-0.355,-0.215
1552777343,-0.35,-0.21
1555555120,-0.34,-0.21
1558332897,-0.345,-0.225
1561110674,-0.345,-0.23
1563888451,-0.345,-0.22
1566666228,-0.345,-0.21
1569444005,-0.33,-0.205
1572221782,-0.33,-0.2
1574999559,-0.335,-0.205
1577777336,-0.345,-0.22
1580555113,-0.35,-0.23
1583332890,-0.35,-0.215
1586110667,-0.34,-0.205
1588888444,-0.33,-0.2
1591666221,-0.345,-0.23
1594443998,-0.345,-0.22
1597221775,-0.355,-0.215
1599999552,-0.35,-0.205
1602777329,-0.34,-0.2
1605555106,-0.33,-0.205
1608332883,-0.34,-0.22
1611110660,-0.34,-0.22
1613888437,-0.34,-0.225
1616666214,-0.33,-0.205
1619443991,-0.335,-0.2
1622221768,-0.33,-0.2
1624999545,-0.335,-0.21
1627777322,-0.345,-0.23
1630555099,-0.345,-0.215
1633332876,-0.34,-0.2
1636110653,-0.33,-0.2
1638888430,-0.315,-0.205
1641666207,-0.295,-0.21
1644443984,-0.3,-0.215
1647221761,-0.295,-0.22
1649999538,-0.285,-0.205
1652777315,-0.275,-0.2
1655555092,-0.265,-0.195
1658332869,-0.265,-0.205
1661110646,-0.265,-0.205
1663888423,-0.255,-0.205
1666666200,-0.25,-0.18
1669443977,-0.24,-0.17
1672221754,-0.225,-0.19
1674999531,-0.215,-0.19
1677777308,-0.24,-0.2
1680555085,-0.245,-0.185
1683332862,-0.24,-0.165
1686110639,-0.245,-0.145
1688888416,-0.235,-0.145
1691666193,-0.245,-0.17
1694443970,-0.25,-0.175
1697221747,-0.275,-0.17
1699999524,-0.275,-0.165
1702777301,-0.265,-0.15
1705555078,-0.25,-0.16
1708332855,-0.225,-0.175
1711110632,-0.22,-0.19
1713888409,-0.23,-0.19
1716666186,-0.265,-0.185
1719443963,-0.27,-0.185
1722221740,-0.28,-0.175
1724999517,-0.285,-0.195
1727777294,-0.305,-0.215
1730555071,-0.32,-0.205
1733332848,-0.34,-0.2
1736110625,-0.33,-0.195
1738888402,-0.335,-0.205
1741666179,-0.335,-0.21
1744443956,-0.355,-0.22
1747221733,-0.37,-0.215
1749999510,-0.36,-0.21
1752777287,-0.345,-0.205
1755555064,-0.35,-0.2
1758332841,-0.355,-0.21
1761110618,-0.365,-0.22
1763888395,-0.375,-0.22
1766666172,-0.38,-0.22
1769443949,-0.37,-0.2
1772221726,-0.365,-0.205
1774999503,-0.365,-0.215
1777777280,-0.38,-0.225
1780555057,-0.385,-0.22
1783332834,-0.38,-0.215
1786110611,-0.375,-0.205
1788888388,-0.355,-0.22
1791666165,-0.37,-0.225
1794443942,-0.39,-0.24
1797221719,-0.405,-0.26
1799999496,-0.41,-0.28
1802777273,-0.435,-0.3
1805555050,-0.465,-0.345
1808332827,-0.49,-0.375
1811110604,-0.52,-0.345
1813888381,-0.555,-0.26
1816666158,-0.57,-0.125
1819443935,-0.525,0.025
1822221712,-0.405,0.145
1824999489,-0.25,0.26
1827777266,-0.09,0.375
1830555043,0.12,0.505
1833332820,0.41,0.635
1836110597,0.69,0.705
1838888374,0.885,0.61
1841666151,0.96,0.32
1844443928,0.85,-0.045
1847221705,0.52,-0.25
1849999482,0.05,-0.27
1852777259,-0.32,-0.24
1855555036,-0.5,-0.24
1858332813,-0.505,-0.25
1861110590,-0.445,-0.255
1863888367,-0.415,-0.245
1866666144,-0.395,-0.245
1869443921,-0.39,-0.245
1872221698,-0.395,-0.255
1874999475,-0.39,-0.26
1877777252,-0.395,-0.26
1880555029,-0.405,-0.27
1883332806,-0.395,-0.245
1886110583,-0.405,-0.245
1888888360,-0.39,-0.25
1891666137,-0.395,-0.265
1894443914,-0.395,-0.27
1897221691,-0.41,-0.27
1899999468,-0.405,-0.265
1902777245,-0.4,-0.26
1905555022,-0.4,-0.26
1908332799,-0.415,-0.27
1911110576,-0.405,-0.28
1913888353,-0.42,-0.28
1916666130,-0.415,-0.27
1919443907,-0.405,-0.255
1922221684,-0.405,-0.265
1924999461,-0.42,-0.28
1927777238,-0.42,-0.29
1930555015,-0.435,-0.275
1933332792,-0.42,-0.265
1936110569,-0.41,-0.255
1938888346,-0.41,-0.26
1941666123,-0.405,-0.26
1944443900,-0.425,-0.28
1947221677,-0.43,-0.28
1949999454,-0.42,-0.265
1952777231,-0.415,-0.26
1955555008,-0.41,-0.255
1958332785,-0.41,-0.26
1961110562,-0.425,-0.275
1963888339,-0.42,-0.27
1966666116,-0.4,-0.275
1969443893,-0.395,-0.265
1972221670,-0.4,-0.265
1974999447,-0.4,-0.27
1977777224,-0.395,-0.28
1980555001,-0.415,-0.285
1983332778,-0.405,-0.28
1986110555,-0.39,-0.255
1988888332,-0.4,-0.27
1991666109,-0.4,-0.28
1994443886,-0.415,-0.29
1997221663,-0.425,-0.29
1999999440,-0.425,-0.27
2002777217,-0.415,-0.27
2005554994,-0.415,-0.285
2008332771,-0.41,-0.3
2011110548,-0.425,-0.3
2013888325,-0.425,-0.3
2016666102,-0.42,-0.295
2019443879,-0.415,-0.275
2022221656,-0.4,-0.295
2024999433,-0.4,-0.3
2027777210,-0.41,-0.31
2030554987,-0.425,-0.31
2033332764,-0.41,-0.315
2036110541,-0.405,-0.31
2038888318,-0.395,-0.31
2041666095,-0.4,-0.335
2044443872,-0.4,-0.345
2047221649,-0.405,-0.355
2049999426,-0.385,-0.35
2052777203,-0.4,-0.345
2055554980,-0.39,-0.36
2058332757,-0.39,-0.37
2061110534,-0.4,-0.375
2063888311,-0.415,-0.385
2066666088,-0.405,-0.37
2069443865,-0.405,-0.37
2072221642,-0.41,-0.385
2074999419,-0.415,-0.4
2077777196,-0.42,-0.415
2080554973,-0.42,-0.405
2083332750,-0.425,-0.41
2086110527,-0.415,-0.39
2088888304,-0.415,-0.405
2091666081,-0.41,-0.41
2094443858,-0.435,-0.425
2097221635,-0.43,-0.42
2099999412,-0.435,-0.41
2102777189,-0.42,-0.405
2105554966,-0.42,-0.4
2108332743,-0.42,-0.4
2111110520,-0.42,-0.405
2113888297,-0.425,-0.385
2116666074,-0.425,-0.365
2119443851,-0.415,-0.345
2122221628,-0.395,-0.335
2124999405,-0.395,-0.325
2127777182,-0.39,-0.31
2130554959,-0.375,-0.295
2133332736,-0.36,-0.275
2136110513,-0.34,-0.255
2138888290,-0.335,-0.25
2141666067,-0.33,-0.24
2144443844,-0.335,-0.245
2147221621,-0.335,-0.23
2149999398,-0.325,-0.205
2152777175,-0.32,-0.2
2155554952,-0.305,-0.2
2158332729,-0.305,-0.205
2161110506,-0.315,-0.21
2163888283,-0.31,-0.22
2166666060,-0.305,-0.195
2169443837,-0.3,-0.19
2172221614,-0.3,-0.2
2174999391,-0.3,-0.2
2177777168,-0.31,-0.21
2180554945,-0.31,-0.2
2183332722,-0.31,-0.19
2186110499,-0.315,-0.175
2188888276,-0.3,-0.2
2191666053,-0.305,-0.205
2194443830,-0.315,-0.21
2197221607,-0.32,-0.2
2199999384,-0.325,-0.2
2202777161,-0.31,-0.18
2205554938,-0.305,-0.19
2208332715,-0.305,-0.19
2211110492,-0.32,-0.205
2213888269,-0.325,-0.205
2216666046,-0.305,-0.195
2219443823,-0.31,-0.185
2222221600,-0.295,-0.19
2224999377,-0.31,-0.19
2227777154,-0.325,-0.21
2230554931,-0.33,-0.21
2233332708,-0.32,-0.205
2236110485,-0.32,-0.205
2238888262,-0.32,-0.2
2241666039,-0.325,-0.215
2244443816,-0.35,-0.225
2247221593,-0.35,-0.21
2249999370,-0.34,-0.21
2252777147,-0.335,-0.21
2255554924,-0.33,-0.215
2258332701,-0.335,-0.225
2261110478,-0.34,-0.225
2263888255,-0.36,-0.23
2266666032,-0.35,-0.21
2269443809,-0.35,-0.21
2272221586,-0.355,-0.23
2274999363,-0.36,-0.25
2277777140,-0.355,-0.25
2280554917,-0.365,-0.245
2283332694,-0.355,-0.23
2286110471,-0.35,-0.215
2288888248,-0.34,-0.23
2291666025,-0.355,-0.24
2294443802,-0.35,-0.245
2297221579,-0.365,-0.245
2299999356,-0.365,-0.24
2302777133,-0.35,-0.215
2305554910,-0.355,-0.225
2308332687,-0.35,-0.24
2311110464,-0.37,-0.24
2313888241,-0.38,-0.245
2316666018,-0.37,-0.24
2319443795,-0.36,-0.23
2322221572,-0.365,-0.235
2324999349,-0.36,-0.24
2327777126,-0.365,-0.23
2330554903,-0.38,-0.25
2333332680,-0.37,-0.225
2336110457,-0.365,-0.215
2338888234,-0.35,-0.23
2341666011,-0.35,-0.24
2344443788,-0.35,-0.25
2347221565,-0.37,-0.265
2349999342,-0.365,-0.23
2352777119,-0.345,-0.22
2355554896,-0.345,-0.235
2358332673,-0.34,-0.225
2361110450,-0.355,-0.235
2363888227,-0.365,-0.235
2366666004,-0.36,-0.225
2369443781,-0.355,-0.225
2372221558,-0.355,-0.215
2374999335,-0.355,-0.225
2377777112,-0.375,-0.235
2380554889,-0.385,-0.23
2383332666,-0.355,-0.225
2386110443,-0.36,-0.225
2388888220,-0.355,-0.225
2391665997,-0.36,-0.225
2394443774,-0.36,-0.23
2397221551,-0.37,-0.23
2399999328,-0.36,-0.215
2402777105,-0.345,-0.21
2405554882,-0.355,-0.225
2408332659,-0.345,-0.24
2411110436,-0.345,-0.235
2413888213,-0.345,-0.24
2416665990,-0.34,-0.225
2419443767,-0.31,-0.215
2422221544,-0.305,-0.22
2424999321,-0.305,-0.22
2427777098,-0.31,-0.23
2430554875,-0.305,-0.23
2433332652,-0.29,-0.205
2436110429,-0.285,-0.2
2438888206,-0.275,-0.205
2441665983,-0.28,-0.195
2444443760,-0.28,-0.21
2447221537,-0.275,-0.205
2449999314,-0.265,-0.19
2452777091,-0.255,-0.185
2455554868,-0.245,-0.2
2458332645,-0.26,-0.195
2461110422,-0.265,-0.2
2463888199,-0.275,-0.19
2466665976,-0.28,-0.17
2469443753,-0.265,-0.14
2472221530,-0.27,-0.165
2474999307,-0.275,-0.165
2477777084,-0.28,-0.185
2480554861,-0.275,-0.18
2483332638,-0.28,-0.17
2486110415,-0.275,-0.15
2488888192,-0.265,-0.165
2491665969,-0.255,-0.18
2494443746,-0.24,-0.2
2497221523,-0.26,-0.21
2499999300,-0.28,-0.21
2502777077,-0.31,-0.185
2505554854,-0.31,-0.19
2508332631,-0.345,-0.2
2511110408,-0.36,-0.215
2513888185,-0.38,-0.22
2516665962,-0.385,-0.21
2519443739,-0.38,-0.195
2522221516,-0.37,-0.205
2524999293,-0.375,-0.22
2527777070,-0.385,-0.225
2530554847,-0.39,-0.23
2533332624,-0.395,-0.22
2536110401,-0.385,-0.21
2538888178,-0.385,-0.21
2541665955,-0.385,-0.23
2544443732,-0.395,-0.235
2547221509,-0.405,-0.23
2549999286,-0.4,-0.225
2552777063,-0.375,-0.215
2555554840,-0.375,-0.22
2558332617,-0.39,-0.22
2561110394,-0.395,-0.23
2563888171,-0.415,-0.24
2566665948,-0.405,-0.22
2569443725,-0.4,-0.225
2572221502,-0.39,-0.235
2574999279,-0.405,-0.25
2577777056,-0.425,-0.28
2580554833,-0.46,-0.305
2583332610,-0.475,-0.325
2586110387,-0.505,-0.345
2588888164,-0.51,-0.375
2591665941,-0.525,-0.415
2594443718,-0.54,-0.425
2597221495,-0.6,-0.385
2599999272,-0.645,-0.295
2602777049,-0.63,-0.18
2605554826,-0.575,-0.065
2608332603,-0.495,0.035
2611110380,-0.385,0.13
2613888157,-0.27,0.24
2616665934,-0.115,0.37
2619443711,0.09,0.495
2622221488,0.37,0.61
2624999265,0.635,0.655
2627777042,0.81,0.545
2630554819,0.86,0.23
2633332596,0.77,-0.105
2636110373,0.475,-0.28
2638888150,0.065,-0.285
2641665927,-0.305,-0.255
2644443704,-0.5,-0.255
2647221481,-0.52,-0.26
2649999258,-0.475,-0.23
2652777035,-0.41,-0.22
2655554812,-0.39,-0.245
2658332589,-0.39,-0.255
2661110366,-0.4,-0.26
2663888143,-0.41,-0.25
